Contrat_ID,No_voie,B_T_Q,Type_de_voie,Voie,Code_dep_code_commune,Code_postal,Surface,Type_local,Occupation,Type_contrat,Formule,Valeur_declaree_biens,Prix_cotisation_mensuel
122872,191,,AV,ACHILLE PERETTI,50129,92200,66,Appartement,Proprietaire,Residence principale,Integral,25000-50000,45
122990,110,,AV,ACHILLE PERETTI,49007,92200,108,Appartement,Proprietaire,Residence principale,Integral,50000-100000,80
112219,96,,RUE,ACHILLE PINTEAUX,77284,59136,67,Appartement,Proprietaire,Residence secondaire,Classique,0-25000,15
125116,1,,RUE,ADAM,38382,94210,66,Appartement,Proprietaire,Residence principale,Classique,25000-50000,23
125161,2,,RUE,ADAM,38229,94210,53,Appartement,Proprietaire,Residence principale,Integral,25000-50000,24
122300,17,,RUE,ADAM LEDOUX,54547,92400,56,Appartement,Proprietaire,Residence principale,Classique,25000-50000,26
115177,256,,RUE,ADHEMAR FABRI,75116,74800,71,Appartement,Proprietaire,Residence principale,Integral,0-25000,18
108136,2,,QUAI,ADMIS EN CHEF THOMAS,88132,35260,37,Appartement,Proprietaire,Residence principale,Integral,0-25000,15
104178,8,,RUE,ADMYRAULD,93071,17000,29,Appartement,Proprietaire,Residence principale,Classique,0-25000,12
111977,33,,RUE,ADOLPHE,77337,59800,34,Appartement,Locataire,Residence principale,Classique,0-25000,12
121016,29,,RUE,ADOLPHE ADAM,60494,91160,88,Appartement,Proprietaire,Residence principale,Classique,0-25000,16
126417,1,,RUE,ADOLPHE ALPHAND,34108,94300,44,Appartement,Proprietaire,Mise en location,Classique,25000-50000,23
102470,903,,AV,ADOLPHE AUTHIE,94076,9110,22,Appartement,Proprietaire,Residence principale,Classique,0-25000,9
111779,10,,RUE,ADOLPHE BEAUFRERE,77445,56100,50,Appartement,Proprietaire,Residence principale,Classique,0-25000,11
115655,14,,RUE,ADOLPHE BOISSAYE,75115,76790,54,Appartement,Proprietaire,Residence principale,Integral,0-25000,14
130346,11,,PL,ADOLPHE CHERIOUX,13208,75015,37,Appartement,Proprietaire,Mise en location,Classique,25000-50000,27
130356,4,,PL,ADOLPHE CHERIOUX,13208,75015,23,Appartement,Proprietaire,Residence principale,Classique,0-25000,20
130554,16,,PL,ADOLPHE CHERIOUX,13203,75015,21,Appartement,Proprietaire,Residence secondaire,Classique,0-25000,15
130213,9,,RUE,ADOLPHE FOCILLON,13210,75014,32,Appartement,Proprietaire,Residence principale,Classique,25000-50000,26
130272,6,,RUE,ADOLPHE FOCILLON,13209,75014,54,Appartement,Proprietaire,Residence principale,Integral,25000-50000,36
104368,29,,RUE,ADOLPHE LE BAIL,93061,22190,205,Appartement,Proprietaire,Residence principale,Integral,25000-50000,23
104369,29,,RUE,ADOLPHE LE BAIL,93061,22190,179,Appartement,Proprietaire,Residence principale,Integral,0-25000,19
108618,26,,RUE,ADOLPHE MUGUET,84007,38120,66,Appartement,Locataire,Residence principale,Classique,0-25000,13
108706,26,,RUE,ADOLPHE MUGUET,83137,38120,27,Appartement,Locataire,Residence principale,Integral,0-25000,9
123624,300,,RUE,ADOLPHE PAJEAUD,44109,92160,44,Appartement,Proprietaire,Residence principale,Integral,0-25000,16
123609,66,,AV,ADOLPHE SCHNEIDER,44125,92140,30,Appartement,Proprietaire,Residence principale,Integral,0-25000,15
102917,57,,RUE,ADOLPHE THIERS,94058,13001,54,Appartement,Locataire,Residence principale,Integral,0-25000,14
103105,28,,RUE,ADOLPHE THIERS,94046,13001,47,Appartement,Proprietaire,Residence secondaire,Integral,0-25000,12
104670,74,,RUE,ADOLPHE THIERS,93048,26000,53,Appartement,Locataire,Residence principale,Classique,0-25000,10
107839,3,,RUE,ADOLPHE TOUFFAIT,91114,35000,74,Appartement,Proprietaire,Residence principale,Classique,25000-50000,21
107950,5,,RUE,ADOLPHE TOUFFAIT,91021,35000,73,Appartement,Locataire,Residence principale,Integral,0-25000,20
109087,181,,RUE,ADOUR ET CHALOSSE,83112,40380,77,Appartement,Proprietaire,Residence principale,Classique,0-25000,10
101637,5567,,,ADRECH DE BARRIS,95218,6420,26,Appartement,Proprietaire,Residence principale,Integral,0-25000,10
101660,5567,,,ADRECH DE BARRIS,95205,6420,42,Appartement,Locataire,Residence principale,Integral,0-25000,10
101724,5567,,,ADRECH DE BARRIS,95197,6420,31,Appartement,Locataire,Residence principale,Classique,0-25000,10
100901,7009,,,ADRECH DE CHAUVET,972231,4260,109,Appartement,Locataire,Residence principale,Classique,0-25000,17
100985,7,,AV,ADRIEN DAURELLE,95680,5100,67,Appartement,Proprietaire,Mise en location,Classique,0-25000,12
120366,4,,RUE,ADRIEN DUBOUCHE,69044,87000,26,Appartement,Proprietaire,Mise en location,Classique,0-25000,9
104634,20,,AV,ADRIEN FAYOLLE,93048,26400,57,Appartement,Proprietaire,Residence principale,Classique,0-25000,9
104701,20,,AV,ADRIEN FAYOLLE,93048,26400,68,Appartement,Locataire,Residence principale,Classique,0-25000,10
102186,12,,RUE,ADRIEN GUEBHARD,94080,6460,28,Appartement,Proprietaire,Residence principale,Integral,0-25000,10
125362,20,,RUE,ADRIEN TESSIER,38185,94320,95,Appartement,Proprietaire,Residence secondaire,Integral,25000-50000,24
132650,2,,CITE,ADRIENNE,4006,75020,23,Appartement,Proprietaire,Residence principale,Classique,0-25000,16
117705,4,,AV,ADRIENNE LECOUVREUR,75105,78600,47,Appartement,Locataire,Residence principale,Classique,0-25000,16
130101,2,,VLA,ADRIENNE SIMON,13212,75014,25,Appartement,Proprietaire,Residence secondaire,Classique,25000-50000,22
130106,1,,VLA,ADRIENNE SIMON,13212,75014,40,Appartement,Proprietaire,Mise en location,Classique,25000-50000,29
130181,1,,VLA,ADRIENNE SIMON,13211,75014,44,Appartement,Locataire,Residence principale,Integral,25000-50000,31
131897,1,,RUE,AFFRE,6088,75018,31,Appartement,Proprietaire,Residence principale,Classique,0-25000,18
131971,20,,RUE,AFFRE,6088,75018,30,Appartement,Proprietaire,Residence secondaire,Integral,0-25000,20
104248,24,A,RUE,AGNES SOREL,93066,18000,64,Appartement,Locataire,Residence principale,Integral,0-25000,10
118590,3,,RUE,AGRIPPA D AUBIGNE,74010,80000,100,Appartement,Proprietaire,Residence secondaire,Classique,0-25000,15
114769,2,,RUE,AGUT,75117,71000,26,Appartement,Proprietaire,Residence principale,Classique,0-25000,10
100970,5246,,ALL,AICARDI HUBERT,974415,5560,56,Appartement,Proprietaire,Residence principale,Integral,0-25000,17
106002,18,,AV,AIGNAN CARRIERE,92040,31120,66,Appartement,Proprietaire,Residence principale,Classique,0-25000,14
119489,6060,,,AIGUEBELLE,69383,83980,38,Maison,Locataire,Residence principale,Integral,0-25000,18
101543,5185,A,AV,AIMABLE GASTAUD,95268,6430,56,Appartement,Proprietaire,Residence principale,Integral,0-25000,9
108413,16,,RUE,AIME BEREY,85164,38000,73,Appartement,Proprietaire,Residence principale,Classique,0-25000,15
108442,20,,RUE,AIME BEREY,85047,38000,58,Appartement,Proprietaire,Residence principale,Integral,0-25000,12
110971,47,,ALL,AIME BONPLAND,78367,49240,64,Appartement,Locataire,Residence principale,Classique,0-25000,15
108820,23,,RUE,AIME BOUCHAYER,83137,38170,99,Appartement,Proprietaire,Residence principale,Integral,25000-50000,21
106899,141,,RUE,AIME BROUSTAUT,91691,33470,43,Appartement,Locataire,Residence principale,Integral,0-25000,14
112914,1,,RUE,AIME CESAIRE,76647,62210,54,Appartement,Proprietaire,Residence principale,Classique,0-25000,9
112926,1,,RUE,AIME CESAIRE,76575,62210,61,Appartement,Locataire,Residence principale,Classique,0-25000,10
117161,8,,ALL,AIME CESAIRE,75109,78190,84,Appartement,Proprietaire,Residence principale,Integral,0-25000,16
106398,9,,RUE,AIMEE ANTOINETTE CAMUS,92024,33140,80,Maison,Proprietaire,Mise en location,Integral,0-25000,21
130622,39,,RUE,ALAIN CHARTIER,13201,75015,33,Appartement,Proprietaire,Residence principale,Classique,25000-50000,23
105040,63,,AV,ALAIN LE LAY,92075,29900,67,Appartement,Proprietaire,Residence principale,Integral,0-25000,12
124028,1,,RUE,ALAIN RAILLARD,44055,93300,47,Appartement,Proprietaire,Mise en location,Integral,0-25000,18
105966,12,,BD,ALAIN SAVARY,92040,31170,79,Appartement,Proprietaire,Residence principale,Integral,0-25000,14
104473,1,,RUE,ALARY,93051,24000,62,Appartement,Proprietaire,Residence principale,Integral,0-25000,10
104480,1,,RUE,ALARY,93051,24000,55,Appartement,Proprietaire,Residence principale,Classique,0-25000,11
119034,2,,BD,ALATA,69388,83100,60,Appartement,Locataire,Residence principale,Integral,0-25000,12
110792,8,B,RUE,ALBAN MARIE,78423,47300,51,Maison,Proprietaire,Residence principale,Integral,0-25000,15
103162,62,,RUE,ALBE,94046,13004,102,Maison,Proprietaire,Mise en location,Classique,0-25000,16
103545,13,,ALL,ALBENIZ,94033,13008,105,Appartement,Proprietaire,Residence principale,Integral,0-25000,15
103550,31,,ALL,ALBENIZ,94033,13008,75,Appartement,Proprietaire,Residence secondaire,Integral,0-25000,17
119765,351,,AV,ALBERT 1 ER,69275,83150,29,Appartement,Proprietaire,Residence principale,Classique,0-25000,19
101702,6,,AV,ALBERT 1ER,95199,6230,16,Appartement,Proprietaire,Residence secondaire,Integral,0-25000,11
101839,15,,BD,ALBERT 1ER,95127,6600,66,Appartement,Proprietaire,Residence principale,Integral,25000-50000,22
101915,19,,BD,ALBERT 1ER,95052,6600,60,Appartement,Proprietaire,Residence principale,Integral,0-25000,14
102043,20,,BD,ALBERT 1ER,95018,6600,24,Appartement,Proprietaire,Mise en location,Classique,0-25000,12
102093,12,,BD,ALBERT 1ER,94081,6600,71,Appartement,Proprietaire,Mise en location,Classique,0-25000,20
106551,114,,BD,ALBERT 1ER,92014,33800,64,Appartement,Proprietaire,Mise en location,Classique,25000-50000,21
106593,82,,BD,ALBERT 1ER,92012,33800,40,Appartement,Proprietaire,Residence principale,Integral,0-25000,13
109327,162,,RUE,ALBERT 1ER,83069,41000,47,Appartement,Proprietaire,Residence principale,Classique,0-25000,10
109328,47,B,RUE,ALBERT 1ER,83069,41000,85,Appartement,Proprietaire,Residence principale,Classique,0-25000,12
111399,32,,BD,ALBERT 1ER,78152,54000,178,Appartement,Proprietaire,Residence principale,Classique,25000-50000,29
112209,64,,BD,ALBERT 1ER,77284,59491,88,Appartement,Proprietaire,Residence principale,Classique,0-25000,12
112241,66,,BD,ALBERT 1ER,77284,59491,74,Appartement,Proprietaire,Residence secondaire,Integral,0-25000,11
112698,11,,AV,ALBERT 1ER,77083,60300,62,Appartement,Proprietaire,Residence principale,Integral,0-25000,12
122193,88,,AV,ALBERT 1ER,56094,92500,41,Appartement,Locataire,Residence principale,Integral,0-25000,19
122304,92,,AV,ALBERT 1ER,54547,92500,30,Appartement,Proprietaire,Residence principale,Integral,0-25000,16
124786,16,B,AV,ALBERT 1ER,40088,94210,42,Appartement,Proprietaire,Mise en location,Classique,0-25000,16
127017,10,,RUE,ALBERT 1ER,33236,95260,28,Appartement,Locataire,Residence principale,Integral,0-25000,11
128215,14,,CRS,ALBERT 1ER,31555,75008,43,Appartement,Proprietaire,Residence secondaire,Integral,25000-50000,37
128324,40,,CRS,ALBERT 1ER,30341,75008,96,Appartement,Proprietaire,Residence principale,Classique,25000-50000,43
108719,14,,AV,ALBERT 1ER DE BELGIQUE,83137,38000,84,Appartement,Proprietaire,Residence principale,Integral,0-25000,17
108736,40,,AV,ALBERT 1ER DE BELGIQUE,83137,38000,67,Appartement,Locataire,Residence principale,Integral,0-25000,16
108742,35,,AV,ALBERT 1ER DE BELGIQUE,83137,38000,41,Appartement,Proprietaire,Residence principale,Integral,0-25000,13
130037,6,,RUE,ALBERT BAYET,13213,75013,33,Appartement,Locataire,Residence principale,Classique,25000-50000,22
101017,9190,3,ALL,ALBERT BOURGES,95637,5100,68,Appartement,Locataire,Residence principale,Integral,0-25000,16
106199,158,,BD,ALBERT BRANDENBURG,92026,33300,78,Appartement,Proprietaire,Residence principale,Classique,0-25000,17
109851,77,,RUE,ALBERT CALMETTE,80021,44300,85,Appartement,Proprietaire,Residence principale,Classique,25000-50000,26
100756,1,,ALL,ALBERT CAMUS,2A004,1200,58,Appartement,Proprietaire,Residence principale,Classique,0-25000,10
104726,9002,,RUE,ALBERT CAMUS,93047,26700,87,Appartement,Locataire,Residence principale,Integral,0-25000,10
104800,9,,RUE,ALBERT CAMUS,93045,26200,72,Appartement,Locataire,Residence principale,Integral,0-25000,10
107278,15,B,RUE,ALBERT CAMUS,91434,34470,81,Maison,Proprietaire,Residence principale,Integral,25000-50000,24
109479,26,,RUE,ALBERT CAMUS,83042,42740,123,Maison,Proprietaire,Residence principale,Integral,0-25000,15
110585,2,,RUE,ALBERT CAMUS,78517,45400,66,Appartement,Locataire,Residence principale,Integral,0-25000,10
110635,2,,RUE,ALBERT CAMUS,78498,45400,86,Appartement,Proprietaire,Residence principale,Classique,0-25000,12
114398,2,,RUE,ALBERT CAMUS,75118,69600,79,Appartement,Proprietaire,Residence principale,Classique,0-25000,10
115889,3,,RUE,ALBERT CAMUS,75114,77170,49,Appartement,Locataire,Residence principale,Classique,0-25000,14
116477,25,,AV,ALBERT CAMUS,75111,77400,142,Appartement,Proprietaire,Residence principale,Integral,25000-50000,22
116626,19,,AV,ALBERT CAMUS,75111,77400,72,Appartement,Proprietaire,Residence principale,Integral,0-25000,15
116659,6,,RUE,ALBERT CAMUS,75111,77100,76,Appartement,Locataire,Residence principale,Integral,0-25000,14
116673,23,,AV,ALBERT CAMUS,75111,77400,77,Appartement,Proprietaire,Residence principale,Classique,0-25000,16
116690,6,,RUE,ALBERT CAMUS,75111,77100,67,Appartement,Locataire,Residence principale,Classique,0-25000,11
116822,23,,AV,ALBERT CAMUS,75110,77400,90,Appartement,Locataire,Residence principale,Integral,0-25000,15
117380,8,,RUE,ALBERT CAMUS,75107,78340,66,Appartement,Locataire,Residence principale,Classique,0-25000,14
120400,14,,RUE,ALBERT CAMUS,69027,87270,46,Appartement,Proprietaire,Residence principale,Integral,0-25000,9
123515,36,,RUE,ALBERT CAMUS,44143,92160,51,Appartement,Proprietaire,Residence principale,Integral,0-25000,15
123717,36,,RUE,ALBERT CAMUS,44109,92160,51,Appartement,Proprietaire,Residence principale,Integral,0-25000,17
127202,14,,BD,ALBERT CAMUS,33122,95200,96,Appartement,Proprietaire,Residence principale,Integral,0-25000,14
127534,9,,PL,ALBERT CAMUS,33063,95210,74,Appartement,Proprietaire,Residence principale,Integral,0-25000,13
115611,88,,RUE,ALBERT COPIEUX,75115,76620,83,Appartement,Proprietaire,Mise en location,Classique,0-25000,12
128473,9,,RUE,ALBERT DE LAPPARENT,30189,75007,97,Appartement,Proprietaire,Residence principale,Classique,50000-100000,92
105111,19,,RUE,ALBERT DE MUN,92073,29400,97,Appartement,Locataire,Residence principale,Integral,0-25000,9
110265,11,,AV,ALBERT DE MUN,78640,44600,109,Appartement,Locataire,Residence principale,Integral,0-25000,16
110267,15,,AV,ALBERT DE MUN,78640,44600,46,Appartement,Proprietaire,Residence principale,Classique,0-25000,10
122612,2,,RUE,ALBERT DE MUN,51573,92600,34,Appartement,Proprietaire,Mise en location,Classique,0-25000,17
124816,13,,RUE,ALBERT DE MUN,40065,94100,59,Appartement,Proprietaire,Residence principale,Classique,0-25000,18
124822,13,,RUE,ALBERT DE MUN,40065,94100,58,Appartement,Locataire,Residence principale,Classique,0-25000,20
115553,4,,RUE,ALBERT DUBOSC,75115,76310,79,Appartement,Locataire,Residence principale,Classique,0-25000,16
118799,536,,RUE,ALBERT EINAUDI,72029,83600,68,Appartement,Proprietaire,Mise en location,Classique,0-25000,15
118815,58,,RUE,ALBERT EINAUDI,71344,83600,58,Appartement,Proprietaire,Residence principale,Classique,0-25000,13
109797,1,,BD,ALBERT EINSTEIN,80368,44300,21,Appartement,Proprietaire,Residence principale,Classique,0-25000,10
109808,1,,BD,ALBERT EINSTEIN,80228,44300,19,Appartement,Proprietaire,Residence principale,Integral,0-25000,9
109871,14,,BD,ALBERT EINSTEIN,80021,44300,63,Appartement,Proprietaire,Residence principale,Classique,0-25000,15
109875,30,,BD,ALBERT EINSTEIN,80021,44300,20,Appartement,Proprietaire,Residence principale,Integral,0-25000,9
117518,13,B,RUE,ALBERT EINSTEIN,75106,78370,55,Appartement,Proprietaire,Residence principale,Integral,25000-50000,21
118572,4,D,RUE,ALBERT GAILLARD,74010,80330,55,Appartement,Proprietaire,Residence secondaire,Integral,0-25000,11
111384,10,B,QUAI,ALBERT GOUPIL,78158,53000,48,Appartement,Proprietaire,Residence principale,Integral,0-25000,11
125410,15,,MAIL,ALBERT JACQUARD,38185,94600,40,Appartement,Proprietaire,Residence principale,Integral,0-25000,15
117248,48,,RUE,ALBERT JOLY,75108,78000,88,Appartement,Proprietaire,Residence principale,Integral,25000-50000,29
117475,3,B,RUE,ALBERT JOLY,75107,78110,17,Appartement,Proprietaire,Residence principale,Integral,0-25000,12
117728,29,,RUE,ALBERT JOLY,75105,78400,36,Appartement,Locataire,Residence principale,Classique,0-25000,16
111601,3,,RUE,ALBERT LEBRUN,77514,54400,43,Appartement,Proprietaire,Residence principale,Integral,0-25000,9
126558,3,,RUE,ALBERT LECOCQ,33550,94170,77,Appartement,Proprietaire,Residence principale,Classique,25000-50000,30
128085,8,,RUE,ALBERT LUTHULI,31555,974416,73,Appartement,Locataire,Residence principale,Classique,0-25000,17
111074,25,,RUE,ALBERT MAHIEU CHERBOURG,78356,50100,52,Appartement,Proprietaire,Mise en location,Classique,0-25000,10
104017,24,,CRS,ALBERT MANUEL,94002,14600,47,Appartement,Proprietaire,Residence principale,Integral,0-25000,13
104682,44,,AV,ALBERT MAZADE,93048,26250,62,Appartement,Proprietaire,Residence principale,Integral,0-25000,11
127051,27,,RUE,ALBERT MEUNIER,33227,95330,57,Appartement,Proprietaire,Residence principale,Integral,0-25000,15
123451,8,,RUE,ALBERT NEVEU,44184,92140,66,Appartement,Proprietaire,Residence principale,Integral,0-25000,19
123694,47,,AV,ALBERT PETIT,44109,92220,47,Appartement,Locataire,Residence principale,Integral,0-25000,16
121402,17,,RUE,ALBERT PEUVRIER,60057,91240,32,Appartement,Locataire,Residence principale,Classique,0-25000,12
118941,330,,RUE,ALBERT PIAULT,69389,83130,54,Appartement,Proprietaire,Residence principale,Integral,0-25000,14
118954,330,,RUE,ALBERT PIAULT,69389,83130,92,Appartement,Proprietaire,Residence principale,Classique,0-25000,17
119009,330,,RUE,ALBERT PIAULT,69389,83130,91,Appartement,Proprietaire,Residence principale,Integral,0-25000,16
108810,509,,RUE,ALBERT PIETRI,83137,38250,102,Appartement,Locataire,Residence principale,Integral,0-25000,19
106146,66,,RUE,ALBERT PITRES,92026,33000,34,Appartement,Proprietaire,Residence principale,Integral,0-25000,17
120137,23,,QUAI,ALBERT PROUTEAU,69199,85100,20,Appartement,Proprietaire,Residence principale,Integral,0-25000,10
132520,12,,VLA,ALBERT ROBIDA,5061,75019,72,Appartement,Proprietaire,Residence principale,Integral,25000-50000,38
131196,12,,RUE,ALBERT ROUSSEL,10362,75017,31,Appartement,Proprietaire,Residence principale,Integral,0-25000,20
131315,12,,RUE,ALBERT ROUSSEL,7308,75017,92,Appartement,Locataire,Residence principale,Integral,25000-50000,47
105710,2,,IMP,ALBERT ROUX,92049,30700,63,Appartement,Locataire,Residence principale,Classique,0-25000,11
127047,42,,AV,ALBERT SARRAULT,33227,95190,44,Appartement,Proprietaire,Mise en location,Classique,0-25000,11
124227,5,,AV,ALBERT SARRAUT,42332,93290,28,Appartement,Proprietaire,Residence principale,Classique,0-25000,12
106744,212,,ALL,ALBERT SCHWEITZER,92004,33127,79,Maison,Proprietaire,Residence principale,Classique,0-25000,20
107587,9018,,AV,ALBERT SCHWEITZER,91235,34110,111,Appartement,Locataire,Residence principale,Classique,0-25000,17
121894,3,B,RUE,ALBERT SCHWEITZER,59286,91140,29,Appartement,Locataire,Residence principale,Integral,0-25000,12
125954,5,,RUE,ALBERT SCHWEITZER,35152,94350,41,Appartement,Proprietaire,Residence principale,Classique,0-25000,14
103853,10,,PL,ALBERT SOREL,94016,14600,48,Appartement,Proprietaire,Residence principale,Integral,0-25000,13
115344,13,A,RUE,ALBERT SOREL,75115,76100,50,Appartement,Proprietaire,Residence principale,Integral,0-25000,11
109597,92,,RUE,ALBERT THOMAS,83009,42300,57,Appartement,Proprietaire,Mise en location,Integral,0-25000,9
113921,125,,CRS,ALBERT THOMAS,75118,69003,49,Appartement,Locataire,Residence principale,Classique,0-25000,19
113964,155,,CRS,ALBERT THOMAS,75118,69003,60,Appartement,Proprietaire,Residence principale,Classique,0-25000,18
114012,28,,CRS,ALBERT THOMAS,75118,69008,35,Appartement,Proprietaire,Mise en location,Integral,0-25000,15
114070,161,,CRS,ALBERT THOMAS,75118,69003,25,Appartement,Proprietaire,Residence principale,Classique,0-25000,12
117165,8,,RUE,ALBERT THOMAS,75109,78140,24,Appartement,Proprietaire,Mise en location,Classique,0-25000,10
120608,21,,RUE,ALBERT THOMAS,64445,90000,74,Appartement,Proprietaire,Residence principale,Integral,0-25000,13
120668,38,,RUE,ALBERT THOMAS,64385,91560,96,Appartement,Locataire,Residence principale,Integral,0-25000,17
120759,38,,RUE,ALBERT THOMAS,64024,91560,88,Appartement,Proprietaire,Residence secondaire,Classique,0-25000,17
121060,2,,ALL,ALBERT THOMAS,60414,91300,57,Appartement,Proprietaire,Mise en location,Integral,0-25000,14
121312,20,,ALL,ALBERT THOMAS,60141,91300,58,Appartement,Proprietaire,Residence principale,Classique,0-25000,15
